GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
08013013600,2697,2202,1792,220,31,48,107,4,410,9601,4106,5190,305
08013013601,2112,1710,1341,233,18,51,79,5,369,8368,3144,4921,303
08013013918,1532,1219,1069,73,16,26,27,2,150,6271,1483,4542,246
08013013917,1714,1354,1217,66,5,29,17,1,137,7178,1708,5152,318
08013013913,790,678,626,20,3,2,25,0,52,3663,821,2741,101
08013013916,587,527,483,16,5,16,6,0,44,2442,880,1448,114
08013013915,493,443,389,12,3,15,9,0,54,1993,490,1377,126
08013013914,719,616,557,15,8,27,5,4,59,3191,486,2513,192
08013013909,626,561,487,17,11,25,16,5,74,3021,281,2585,155
08013013912,1327,1159,1060,36,9,9,26,2,99,6207,1209,4761,237
08013013903,2365,1981,1778,74,4,49,36,5,203,9748,1537,7663,548
08013013902,373,324,295,16,2,6,5,0,29,1492,307,1123,62
08013013908,1054,918,842,26,11,22,7,1,76,5172,872,4109,191
08013013904,577,508,457,16,2,10,8,2,51,2681,296,2233,152
08013013905,336,286,255,17,2,7,3,1,31,1484,352,1058,74
08013013901,807,717,636,36,5,16,14,1,81,3489,1040,2263,186
08013013105,621,534,423,35,11,4,40,0,111,2407,568,1696,143
08013013102,2263,1891,1219,207,46,44,364,9,672,5070,1222,3578,270
08013013107,1328,1085,804,73,18,18,148,6,281,4256,1014,3103,139
08013013200,879,672,537,30,4,6,76,0,135,3473,964,2416,93
08013013106,1401,1013,801,72,17,12,86,0,212,5489,1297,3997,195
08013013104,1695,1138,879,89,14,20,128,3,259,5833,1757,3883,193
08013013100,2051,1513,1059,110,39,22,281,0,454,7297,2225,4813,259
08013013400,158,124,97,6,2,8,7,0,27,692,316,363,13
08013013301,3695,2769,1369,1139,47,175,131,5,1400,8784,1611,6795,378
08013013307,1992,1536,836,579,28,40,61,3,700,4562,989,3322,251
08013013300,2709,2146,1593,300,54,34,159,3,553,8170,2390,5435,345
08013013308,1595,1263,866,270,27,84,46,2,397,5232,1042,3945,245
08013013302,2726,2087,1638,152,38,35,210,4,449,8035,1795,5922,318
08013013303,1398,1096,794,174,14,26,74,0,302,4739,893,3619,227
08013013103,1646,1168,870,59,21,4,204,3,298,6081,1825,4046,210
08013013101,2094,1419,1015,94,18,28,252,1,404,6878,1880,4747,251
08014014014,1519,1192,913,140,31,31,65,10,279,5114,1937,2918,259
08014014007,1443,1143,786,184,19,47,111,6,357,4073,1259,2596,218
08014014011,1547,1227,966,128,27,39,51,2,261,5689,2248,3160,281
08014014009,1099,929,751,69,14,20,63,1,178,4179,1445,2559,175
08014014008,1098,880,642,161,12,25,28,4,238,3258,1235,1844,179
08014014013,1359,1075,815,113,17,20,96,0,260,4683,1589,2786,308
08014014006,3994,3635,2553,515,177,100,292,21,1082,9336,2351,6428,557
08014014019,2134,1744,1309,254,33,50,101,6,435,6093,2332,3410,351
08014014015,1572,1275,1017,143,25,31,72,2,258,5817,2420,3172,225
08014014018,1202,978,747,138,28,19,45,4,231,4309,1555,2537,217
08014014020,1345,1024,816,114,6,37,51,2,208,4735,1995,2504,236
08014014016,1313,1024,912,35,4,8,55,1,112,6004,2910,2897,197
08014014024,2956,2088,1479,194,35,61,330,10,609,10401,4244,5750,407
