GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
36081001280,2276,1753,203,871,210,64,451,11,1550,2662,467,2135,60
36081001278,2461,1888,139,571,197,39,976,9,1749,2908,401,2463,44
36081000745,2170,1816,217,391,1226,43,60,7,1599,2770,129,2612,29
36081000733,4401,2985,91,724,2339,72,45,6,2894,6190,214,5908,68
36081000760,0,0,0,0,0,0,0,0,0,0,0,0,0
36081000750,4030,2896,176,956,1768,42,134,5,2720,4961,168,4748,45
36081000747,1887,1361,55,302,974,56,66,7,1306,2399,119,2255,25
36081000749,1836,1265,11,517,778,52,49,4,1254,3051,127,2904,20
36079000065,1003,810,678,73,27,6,23,5,132,2941,1614,1273,54
36081000561,1643,1280,25,132,1044,38,68,11,1255,2934,68,2847,19
36081000331,1420,1172,691,116,5,5,357,3,481,3490,1615,1789,86
36081000329,1606,1332,687,159,24,22,472,4,645,3729,1423,2218,88
36081000333,1968,1620,584,286,56,16,692,2,1036,3338,1011,2241,86
36081000290,1640,1410,799,160,82,7,359,14,611,3183,1065,2070,48
36081001134,1561,1363,910,209,42,19,177,3,453,2942,595,2245,102
36081001157,1516,1339,761,305,48,25,197,7,578,2743,458,2207,78
36081001159,1663,1431,989,202,58,21,176,4,442,3120,720,2304,96
36081001135,1388,1213,821,175,29,17,176,4,392,2823,417,2283,123
36081000632,2205,1708,751,440,34,20,478,1,957,2955,1121,1761,73
36081000680,2237,1747,699,613,29,13,405,3,1048,2609,959,1587,63
36081001367,2139,1725,152,459,40,46,1068,5,1573,2381,387,1959,35
36081001362,1953,1626,160,601,43,40,816,9,1466,2570,417,2103,50
36081001365,1152,986,550,187,35,10,207,0,436,3565,412,3058,95
36081000944,2638,2065,76,1707,63,130,268,6,1989,1968,246,1690,32
36081000943,3223,2518,87,2081,56,144,332,4,2431,2085,252,1805,28
36081000037,1833,1296,389,164,640,16,65,2,907,3392,1001,2325,66
36081000545,2816,2050,38,568,1041,79,398,16,2012,2462,126,2319,17
36081000596,1735,1308,3,210,829,15,225,4,1305,2547,83,2445,19
36061001067,0,0,0,0,0,0,0,0,0,0,0,0,0
36061000968,1116,1006,811,77,17,6,81,1,195,2854,525,2287,42
36061001299,0,0,0,0,0,0,0,0,0,0,0,0,0
36061000230,3756,3063,439,1315,1111,102,414,20,2624,7855,556,7184,115
36061000305,11,11,6,1,4,0,0,0,5,21,4,17,0
36061001294,1420,1338,1011,114,33,4,169,1,327,3407,546,2749,112
36087000048,1201,945,611,114,102,15,131,0,334,3710,1655,1969,86
36087000089,1424,1171,487,250,381,16,71,0,684,2923,724,2142,57
36087000237,1735,1356,558,502,202,33,93,0,798,2328,828,1442,58
36087000165,1009,775,403,254,46,18,53,2,372,2013,890,1062,61
36087000025,1156,856,629,93,35,8,89,0,227,3673,1762,1819,92
36087000159,930,698,285,189,166,98,35,3,413,1946,682,1221,43
36087000169,688,549,407,71,31,0,27,0,142,1808,1041,722,45
36087000068,986,772,590,88,30,13,64,0,182,3204,1327,1814,63
36081000868,1763,1436,273,250,97,28,794,3,1163,2953,823,2074,56
36081000869,1946,1592,413,344,123,30,698,7,1179,3547,976,2507,64
36081000888,1739,1392,23,137,1071,37,125,6,1369,3106,60,3022,24
36081000887,1921,1514,28,144,1180,22,170,2,1486,3465,96,3344,25
36081000274,1653,1317,711,141,8,4,457,2,606,3456,1723,1651,82
36081000275,1634,1293,631,155,32,4,485,0,662,3252,1542,1677,33
36081000272,1729,1463,891,152,12,9,390,2,572,3447,1434,1958,55
36081001013,2440,2025,133,363,40,14,1497,5,1892,2550,552,1961,37
36045000008,1172,849,812,9,4,10,5,1,37,2444,1524,855,65
36045000005,2809,2215,2061,36,14,51,19,4,154,7865,4618,3029,218
36045000004,940,815,758,7,7,30,6,0,57,2673,1240,1357,76
36045000032,801,591,485,31,27,12,27,2,106,1625,840,722,63
36087000136,899,719,609,61,16,7,24,1,110,2821,1672,1050,99
36103000579,1270,985,804,74,24,9,79,1,181,3827,1914,1842,71
36103000049,1093,890,683,119,47,7,34,1,207,2734,1516,1157,61
36103000088,1101,882,561,199,98,12,37,3,321,2482,1075,1352,55
36103000021,1461,1119,857,114,82,3,53,1,262,4387,1825,2459,103
36103000789,1269,1014,877,94,25,6,19,1,137,3740,2100,1592,48
36103000028,3497,2782,1525,790,312,32,148,9,1257,6381,2711,3542,128
36045000023,181,129,127,1,0,1,0,0,2,565,325,213,27
36045000024,1705,1248,1164,46,7,32,7,3,84,3627,2106,1399,122
36045000022,1169,914,872,12,6,20,6,0,42,2629,1719,824,86
36081000603,1447,1182,47,111,986,11,58,3,1135,2762,113,2624,25
36081000571,1668,1365,52,131,1153,21,60,0,1313,3479,168,3289,22
36081000567,1723,1379,21,142,1201,30,27,1,1358,2852,68,2762,22
36081000576,1736,1375,38,104,1217,14,31,2,1337,3452,103,3323,26
36081000566,1215,956,13,93,830,11,22,2,943,2113,41,2051,21
36081000595,990,743,10,67,658,10,18,0,733,1570,64,1489,17
36081000715,1700,1347,222,352,233,35,368,6,1125,2563,675,1854,34
36081000714,1829,1561,133,313,320,76,595,12,1428,2712,583,2089,40
36081000696,2252,1817,182,420,413,71,587,23,1635,2640,513,2091,36
36081001338,2511,2087,238,1349,71,93,451,1,1849,3779,456,3220,103
36081000199,1181,887,450,97,17,1,316,7,437,2392,817,1513,62
36081001108,2010,1752,1046,409,41,36,195,2,706,3623,650,2847,126
36081001104,1996,1737,940,437,76,29,234,3,797,3508,600,2808,100
36081000772,1526,1238,27,85,1125,8,17,1,1211,2955,100,2837,18
36081000730,1561,1219,18,84,1107,12,13,4,1201,2626,49,2557,20
36081000729,1918,1502,18,130,1386,19,22,0,1484,3252,76,3155,21
36081000084,1713,1302,536,492,132,28,144,4,766,2255,781,1439,35
36081000058,2276,1747,493,718,304,47,283,14,1254,3106,830,2240,36
36081000063,1320,1113,657,295,96,14,75,1,456,2823,994,1789,40
36081000060,1904,1476,283,491,132,45,581,4,1193,3045,692,2294,59
36081000093,1225,1021,385,406,152,11,99,0,636,2497,739,1726,32
36081001319,1553,1225,189,626,84,39,263,6,1036,2316,575,1701,40
36081000822,1294,1030,9,90,875,15,68,2,1021,2218,36,2166,16
36061000058,2056,1882,804,118,51,14,906,6,1078,2788,248,2456,84
36061000059,2017,1766,538,72,38,9,1104,0,1228,2855,241,2525,89
36061000728,1975,1357,57,384,997,55,40,11,1300,3169,110,3019,40
36061000678,5821,5062,74,449,4703,82,37,5,4988,8271,104,8060,107
36061000769,1383,1017,104,306,651,42,29,6,913,2105,59,2009,37
36061000753,0,0,0,0,0,0,0,0,0,0,0,0,0
36061000270,1274,1059,822,70,39,2,97,5,237,3386,355,2979,52
